PC_1,PC_2
-9836.048954905058,-23026.26413855361
-9806.684240378223,-21615.757132175848
-9780.265673993632,-23636.65801879119
-9818.859836105152,-23580.979862305445
-9381.806748808249,-23819.703843257907
-8754.224310241741,-22984.08050089159
-9056.657641992824,-23846.66853453503
-10531.630702936303,249134.2749448638
-1980.288487894341,-3211.2371370247383
-9679.299821001852,-23463.686848643447
-9669.415948738604,-21924.942133440767
-9835.440136320956,-23158.291626945324
-9558.295883893317,-23324.193233029237
-9458.240681871323,-23132.881548525394
-3194.170884834692,-23018.055332719206
-9730.47851132602,-23071.8822213414
-9778.72018996519,-23699.869504566173
-9555.618929989338,-23698.8319700442
-9841.806704784463,-22878.60081765639
-9848.177927191731,-21919.252247979734
-9518.835770912181,-18790.390687281215
-9228.709491878111,-3033.5240979841574
-9665.095205541056,-11640.515068944866
-2140.9935750298064,-22687.222951125594
-9787.271640187342,-22862.34617008243
-9686.818741599083,-23711.858660182104
-9161.284938051742,-23768.55563073009
-8234.53038915498,-23735.80829853371
-9683.986600706365,-23662.48355359966
-9303.80325546075,15106.93918835972
-7706.569449455773,-16100.375717931875
-5414.355044587579,-23469.524490720734
-9701.503408161918,-23337.83029868477
-9804.735323699413,-23464.704959975013
-10079.687133965766,63801.11456385657
-9841.006321325083,-22605.90281285081
-6318.18475583247,-23845.943198050874
-9758.045442647463,-23622.041021234705
-9464.244696954576,-23627.837294156907
-9425.252296490506,-21327.8047009229
-9506.762166490409,-23386.67835251721
-9853.468763378582,-22540.32431378904
-9654.157492733266,-13311.848085010866
-9870.148165723213,-18485.94817871395
-1036.0438241234992,-22565.5457739303
-9786.976228530095,-23307.51673029089
-9586.011871953793,-23595.124545102786
-8644.276269630902,-23537.05998132613
-9839.645212100932,-23669.614645728303
-9403.255428416362,-23800.839216123673
-9182.808716445232,4129.0799995671805
-8689.179557178299,-21211.31143910122
-9859.178886509644,-19302.440996315734
-7992.694124670928,-23713.082413874115
-9776.860985744144,-23459.208593010622
-7346.631478150744,-23825.64947509602
-9036.035174202781,-11492.23208434849
-9871.043416412787,-17440.57801319904
-9840.298109861404,-19478.917712840725
-8700.935764525864,-23505.982885844405
-9688.69725735251,-23388.585083860293
-9680.185984330747,-21617.641089590597
-9814.425167958172,-22579.593057856575
-9711.008544484233,-21665.36533712507
-9864.635207455609,-20465.18234914657
-9634.638655132048,-23493.688479283603
-9905.21165274635,-5029.558650804585
-9727.219042046238,-23683.177223104023
-8614.174320203578,-23615.874043566153
-9848.609248981564,-22306.194218353663
-9850.096652366059,-23382.29107279414
-9125.675554156345,-23682.607080430505
-9821.210523258042,-23471.637810031647
-9850.47288042805,-23569.896360293827
-8110.559096450719,-23851.570006901726
-9630.600442945288,-23159.095902570203
-9481.366116016665,-22067.973566154935
-9827.954709797948,-23254.94852309841
-9801.489110345741,-22662.36247076761
-9704.558776600965,23371.778274351876
-7315.9677777499855,-23068.660834318354
-9851.790180623499,-22464.42714914924
-9354.604711593447,-23369.535061748687
-8626.515976598723,-23625.70469253301
-9761.874269810107,-23518.885561158113
-9678.937908915781,-23634.7255215965
-8931.024183700269,-23710.81992286326
-9769.190723087411,-23810.768702182322
-4950.825126663338,-23849.431833403065
-9730.890196295557,-23812.769313545996
-9839.886039204815,-23029.31093081657
-9758.88903738076,-22790.045271104438
-9780.797664577896,-21795.85343115583
-9803.526539902397,-20666.4323356076
-9551.1118397068,-23223.82429430162
-9798.832578796477,-23109.75785419945
-8861.358366563252,-23775.07763380644
-9699.57763708708,-21684.240945826827
-8194.049083009199,-23746.927343183423
-9843.600471211505,-23631.880995728796
-9809.909950282037,-23467.072129415934
-3953.5593280519874,-21787.33686570538
-9697.329554216858,-22978.665665760393
-1204.6962835465033,9197.618317648108
-7666.929197370871,-9475.917198247544
-8546.177014896777,-20995.16691825193
-9111.849987520489,-20915.408167016794
-9837.401867007002,-22796.685297291355
-9844.748225363634,-22413.79268260306
-9851.434011702873,-22571.38805549849
-9860.333648517402,-22013.8419639867
-9588.702776433196,-23095.12038028812
-9858.502517228524,-13424.945496862252
-6919.856563153897,-23290.46788530014
-9815.5858589287,-22930.079117636713
-9830.098359840142,-23118.14026070309
-9821.063149400592,-23118.288030017084
-9870.541911440721,-15692.459165433505
-9279.15206995247,-18982.113553663035
-9739.396057410477,-16913.991244292563
-9470.692633449948,-23532.295979305603
-9859.260986684318,-21450.502508799313
-9820.791579046207,-22781.94388904781
-9401.306636735237,-21326.88566111098
43725.91496994224,-19160.337467331916
-9001.891612965122,-17394.34849942358
-9691.743298940613,-23101.007776248105
-9838.322645751683,-23034.382649250863
-9860.921367446637,-22470.000505820102
-9299.141475804503,-23651.349643291953
-9762.980645966953,-23645.48812782972
21725.657001455867,-23449.848321726513
-9579.104525270706,-23168.867514683723
-9862.077665190269,-18066.6776196473
-9756.002465123476,-23137.430298348074
-9767.097379195176,-23515.322318884067
-9336.542788412962,-23702.576341353964
-9856.986174287784,-23038.560077616727
-9502.673893447098,-23405.131037172054
